License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
62427,The Veridian At Silver Spring Metro,1133 East West Hwy,Silver Spring,20910,154466,-77.02778325,38.9893465,5/14/2019,,3,1,457,106,0.17,0.29,87,0,0,compliant,"(38.9893, -77.0278)"
84793,Bainbridge Bethesda,4918 St Elmo Ave,Bethesda,20814,149950,-77.09753744,38.9883591,1/14/2020,,3,1,200,47,0.25,0.27,40,0,0,compliant,"(38.9884, -77.0975)"
18225,Brooke Park Apartments,6301 MacArthur Blvd,Bethesda,20816-3215,146561,0,0,9/27/2018,,1,1,18,16,6.56,1.98,0,0.06,0.25,troubled,"(0.0, 0.0)"
42887,Residences At Capital Crescent Trail,5333 Westbard Ave,Bethesda,20816,154239,-77.1065937,38.9618359,4/19/2019,,3,1,258,59,0.67,0.84,27,0,0,compliant,"(38.9618, -77.1066)"
65240,Barclay Development Corp,4716 Bradley Blvd,Chevy Chase,20815,154457,-77.09329101,38.97760488,4/22/2019,,3,1,76,20,1.15,1.38,4,0,0,compliant,"(38.9776, -77.0933)"
116905,The Centre at Silver Spring,3310 Teagarden Cir,Silver Spring,20904,,-76.94449538,39.08164815,,,3,0,254,,,,,,,TBD,"(39.0816, -76.9445)"
90329,The Pearl,180 High Park Ln,Silver Spring,20910,,-77.03362371,38.99124085,,,3,0,284,,,,,,,compliant,"(38.9912, -77.0336)"
39309,Churchill Senior Living,21000 Father Hurley Blvd,Germantown,20874,153703,-77.27383566,39.19048627,3/29/2019,,3,1,121,15,1.2,0.43,12,0,0,compliant,"(39.1905, -77.2738)"
115288,Axis at Shady Grove Apartments,9305 Corporate Blvd,Rockville,20850,,-77.19223804,39.10782977,,,3,0,366,,,,,,,compliant,"(39.1078, -77.1922)"
92761,Hanover Shady Grove Apartments,9305 Corporate Blvd,Rockville,20850,,-77.19223804,39.10782977,,,3,0,366,,,,,,,compliant,"(39.1078, -77.1922)"
